ulevel,comment,score,uname,uid
6,去电影院看的，配不上心中新海诚的水平，当当壁纸最多了,2,焦糖cavy,200394185
6,两星仅为制作配音人员的努力，公路片加上散线叙事诚哥在这方面完全不行，功力达不到也不愿意增加篇幅去弥补感情线大神线成长线的落差，再加上配角刻画完全失败还加点温馨小故事硬撑，使得玲芽成长之路更加割裂失智。,4,头顶瓜皮坐飞机,2448865
5,讲的乱七八糟的，玲芽一堆大道理欺负起小猫毫不手软，男主莫名有一种我说的就是对的、猫就是要打开灾难之门的优越感，对玲芽来说，世上只有她爱的帅哥、和必要时都可以抛弃的其他东西。嘴上说的好听但自私自利。,2,开心绛,33389880
5,一般,6,拍拍拍正电,17709614
5,看完啦打卡,10,前世是只喵w,4611954
6,好美的画风，燃烧的经费！,10,忠于职守的点灯人,44711506
6,没必要当爱情片，当一个剧情公路片未曾不可，顺便这个猫是真的出生,6,玉露冷泡茶,2419756
5,新海诚的电影从来都不是完美的而是带有遗憾的，但这次不论是感情线的铺垫和猫猫做为的遗憾都莫名其妙的除了最后的欢迎回来和姨妈爆发的时候有一些感情波动，新海诚还是别碰公路片了比起男主，女主的人见人爱更离谱,4,云镜飞涧,499158167
4,9.8？,6,wind-dan-way,1024629214
5,旅游宣传片,2,Akatsuki-暁,551081456
5,爱你温柔的笑容，直面过去的自己，走向希望的未来，愿你总会遇到生命中最珍贵的那个人，愿你总会回忆起曾经那个勇敢自信的自己，打破过去沉重痛苦的枷锁，享受日日年年的幸福与快乐，救赎沐浴在阴影下的自己。,10,来碗-泡面,39578364
5,剧情好听点叫枯燥无味，难听点叫炸裂，问题多到数不胜数，大臣就因为铃芽温柔因为她把自己拔出来就无脑付出？剧情割裂都成什么样子了，通过一个又一个的小故事想表达什么？人间处处真善美？还不如天气之子,2,苏九双夕,241790467
5,一个遇到个有几分姿色的男人就往前凑的女人，和一个有几分姿色的没有能力的关门狗男人，相遇就就爱的死去活来，把照顾了自己十二年的小姨抛之脑后的白眼狼，你们去变石头谈恋爱吧，把两个小猫还给我,2,一宋柒一,37970300
6,这个剧情不太喜欢。也是，总是不变就是爆米花电影了，但是我不喜欢。,6,彼的赫德王子,17493312
6,是不错的作品，没有评论说的那么不堪，我也是先看了评论然后看完了这部感觉很不错，不过新海诚的电影还是得在电影院看，电视上看也不错,10,白井黑子是我老婆呢,183043881
5,剧情烂中烂！画面中规中矩，BGMyyds！新海诚拿这种片子糊弄人的吗？杠就是你对，反正没有被任何感动到，男女主的感情来的莫名其妙，结尾才描述了下亲情相关，对于玲芽母亲零刻画好吧，这样就没有任何感动。,4,这个名字很昵称,88808065
6,感觉剧情上还是很好的感情也很细腻，整体爱情线确实少但也无碍看的时候还是非常震撼的，个人也觉得比天气之子的感情叙事好一点,10,闻神霄,200819005
5,一般般，看了女主后，挺无语的,2,胡桃心里有我,524890326
