,uid,title,uname,score,comment,ulevel,score_predict
0,350746979,乱打差评的都差不多得了，以为举报就有用了吗？,观形察色,10,我没时间天天在线回复的评论好多讨论剧情评论被举报了，已回复过的评论不会再回复以免再被举报，只是讨论剧情并没有引战和人身攻击居然也能举报成功看来我以后要多加狗头了。我要更新一些新的内容是举报和人身攻击拉黑，还有别私信人身攻击完后再去拉黑，我会直接举报的等你的是七天小黑屋因为之前举报过。我又更新了一些新的内容是申诉恢复评论和截图，我申诉了几条评论终于有恢复的了，我真的是服了真的就什么评论都举报。正常讨论剧情画质的被举报成功，幸好恢复了一点不然别人还以为是我自己删了呢。不过还有好多条评论要恢复，真的感觉评论恢复,5,0.00534761690690333
1,454447060,为自己关门的新海诚——导演视角下的《铃芽之旅》,新海快乐门,10,这是我第二次系统地写《铃芽之旅》的影评了。《铃芽之旅》不是一部完美的电影，但却是新海诚转型路上的重要一步。作为长期关注新海诚动向的up主，我希望这篇文章能够带领读者重走新海诚的“创作之旅”，看看新海诚想要将什么“关在门后”，以及新海诚想要“去往何方”。文章有些长，故作摘要如下：从“常世”入手，可以发现《铃芽之旅》的三条主轴。这些主轴在“常世”部分产生了矛盾，可能降低了电影观感。这是因为三条主轴太多，且新海诚不适应如此多的主题。主题过多是新海诚犹豫心态的反映。这种心态与新海诚的性格与创作理念有关。在这些因素,5,9.999999996388599
2,504823911,不许说日语,504823911,2,绿谷出久:（打开门）绿谷出久:（看着被冰雪覆盖的扎卡耶夫国际机场）绿谷出久:战争开始了,5,9.032265177593757
3,1298595391,看完小说后，再强迫自己看完动画,舟霸凌了玩原的时间,6,打一星的冲动是有的，小说里玲芽和草太爷爷的对话真的太逆天了——几百万人的生命跟我有什么干系，我只要草太！……在学校里骂了一天。现在把动画也看完了，很庆幸没能看到这句话，不然我实在三星都给不了。可以自私，当然可以自私了。我觉得玲芽不怕死去关门有很多因素掺杂着:有作为地震受害者不愿让悲剧再次发生的心理；有驱使她去保护其他人的善良本性；肯定也有对草太的恋慕（这无可厚非）……但是这句话听起来却不是这么一回事——几百万条生命和我有什么干系，我只要草太！ 这句话把其他的“因素”全被压下来，听起来像是玲芽为了草太才去关,4,9.999999719384304
4,629276686,铃芽之旅？大臣之旅！,unknown-creature,8,刚补完这部电影，稍微吐槽一下，只能说是很符合新海诚的一集，与我的预期差不多。他的电影，画面占4分，音乐占3分，演出有1分，剧情和逻辑是倒扣分的很多人诟病的“男女主感情线突兀”，我完全不这么觉得，甚至觉得是为数不多观感不错的关系线了。两个人同生共死，目标一致，互相拯救，肌肤相亲，产生深厚的感情再正常不过，同是青春男女，那么这种感情升华为爱情也是理所当然。女主有表现出她感情升温的过程，至于男主，看他是个椅子，你还真当他榆木脑袋啊？但除此之外的就大部分不太理解了，且听我一一吐槽：除了男主，男主朋友也和女主有不小,5,9.999999999998558
5,2003290649,哇还有标题,超神屑胞人,10,制作很精良，画面无可挑剔，没了解过原著，但是感觉剧情发展略显突兀，貌似很多设定都没解释，但瑕不掩瑜，希望能有更好的下一部。喜欢看一些不带大脑的恋爱番，但这一次却不太希望草太和铃芽有爱情，两人的关系更有种......革命友谊的感觉，当然要真发展为恋人也是好的结局。,5,9.999999990262351
6,1712935128,个人感受不喜勿喷谢谢,青煥_,4,一分给新海诚的画面，一份给radwimps的配乐…真的不能再多了，，，情节乱七八糟的，铃芽和姨妈的情节就很迷惑，我还以为有什么铺垫结果莫名其妙的和好了还没有后续？？？还有铃芽和大臣也很迷惑，大臣本来就是要石还连累了草太最后回去不应该的吗铃芽又感动的不行了我真的？啊？还有最后救草太也够迷惑的，直接亲上去…？不是上映的时候说铃芽和草太没有恋爱关系吗？？？还有，本以为有天气之子那样逃离地面和救阳菜的画面音乐结合很震撼，结果这次开头就唱了主题曲的两句还有东京上空（这个配合的很好），别的没了就，，，概念挺好，但是套,4,9.541901896135442
7,58163114,这片能打9.8分？,这下总该不会重名了吧,2,金羊毛爱情。人在囧途！！看看人在囧途！多么标准的金羊毛套爱情。别人结构多么标准！整洁。再看看这片。金羊毛，也没处理好。爱情也没处理好。这能9.8。那人在囧途岂不是得98分？,5,9.998880385252178
8,21306351,绝对佳作,点7个男模,10,这部电影的配乐真的很恰到好处，且震撼人心，每次到关键时刻听到配乐哭得更厉害了。女主的心路历程和我很像，女主哭我就哭，女主为了救整个城市的人把草太插进去的时候，如果是我，可能真的会犹豫很久，是要救那些我不认识的人，还是放弃草太的生命。女主想摔死大臣的时候我也希望大臣马上消失，但后面发现大臣真的是只好猫猫，哭得更厉害了。铃芽姨妈对铃芽的感情是矛盾的，但姨妈是爱铃芽的，她为自己说得话后悔，她对铃芽的爱大于恨，让我觉得她特别的真实。还有一些细节，草太的房间，草太对女主的态度，周围人对草太的看法，让我觉得草太是个很,6,9.999999999999886
9,1812251492,观后感,佑佑又迷路了,10,人生正如公交车一般，有人上车有人下车，一些人如过客般与我们的故事线交叉，而后不要一直沉浸在往事之中。未来还有更多的故事等待你发掘，向着未来前进吧！,4,9.999999924995167
