,ulevel,comment,score,uname,uid,score_predict
0,6,去电影院看的，配不上心中新海诚的水平，当当壁纸最多了,2,焦糖cavy,200394185,7.369036693026631
1,6,两星仅为制作配音人员的努力，公路片加上散线叙事诚哥在这方面完全不行，功力达不到也不愿意增加篇幅去弥补感情线大神线成长线的落差，再加上配角刻画完全失败还加点温馨小故事硬撑，使得玲芽成长之路更加割裂失智。,4,头顶瓜皮坐飞机,2448865,9.339467301749949e-05
2,5,讲的乱七八糟的，玲芽一堆大道理欺负起小猫毫不手软，男主莫名有一种我说的就是对的、猫就是要打开灾难之门的优越感，对玲芽来说，世上只有她爱的帅哥、和必要时都可以抛弃的其他东西。嘴上说的好听但自私自利。,2,开心绛,33389880,1.217624257725376
3,5,一般,6,拍拍拍正电,17709614,7.484223051105047
4,5,看完啦打卡,10,前世是只喵w,4611954,4.698172034101936
5,6,好美的画风，燃烧的经费！,10,忠于职守的点灯人,44711506,9.84881057002135
6,6,没必要当爱情片，当一个剧情公路片未曾不可，顺便这个猫是真的出生,6,玉露冷泡茶,2419756,8.502543656254362
7,5,新海诚的电影从来都不是完美的而是带有遗憾的，但这次不论是感情线的铺垫和猫猫做为的遗憾都莫名其妙的除了最后的欢迎回来和姨妈爆发的时候有一些感情波动，新海诚还是别碰公路片了比起男主，女主的人见人爱更离谱,4,云镜飞涧,499158167,9.806994338929659
8,4,9.8？,6,wind-dan-way,1024629214,5.0
9,5,旅游宣传片,2,Akatsuki-暁,551081456,1.7460819334400168
10,5,爱你温柔的笑容，直面过去的自己，走向希望的未来，愿你总会遇到生命中最珍贵的那个人，愿你总会回忆起曾经那个勇敢自信的自己，打破过去沉重痛苦的枷锁，享受日日年年的幸福与快乐，救赎沐浴在阴影下的自己。,10,来碗-泡面,39578364,9.999999999999911
11,5,剧情好听点叫枯燥无味，难听点叫炸裂，问题多到数不胜数，大臣就因为铃芽温柔因为她把自己拔出来就无脑付出？剧情割裂都成什么样子了，通过一个又一个的小故事想表达什么？人间处处真善美？还不如天气之子,2,苏九双夕,241790467,1.5511511024653457
12,5,一个遇到个有几分姿色的男人就往前凑的女人，和一个有几分姿色的没有能力的关门狗男人，相遇就就爱的死去活来，把照顾了自己十二年的小姨抛之脑后的白眼狼，你们去变石头谈恋爱吧，把两个小猫还给我,2,一宋柒一,37970300,8.89712161027259
13,6,这个剧情不太喜欢。也是，总是不变就是爆米花电影了，但是我不喜欢。,6,彼的赫德王子,17493312,4.74709981659282
14,6,是不错的作品，没有评论说的那么不堪，我也是先看了评论然后看完了这部感觉很不错，不过新海诚的电影还是得在电影院看，电视上看也不错,10,白井黑子是我老婆呢,183043881,3.4621928554416614
15,5,剧情烂中烂！画面中规中矩，BGMyyds！新海诚拿这种片子糊弄人的吗？杠就是你对，反正没有被任何感动到，男女主的感情来的莫名其妙，结尾才描述了下亲情相关，对于玲芽母亲零刻画好吧，这样就没有任何感动。,4,这个名字很昵称,88808065,0.018891668529290584
16,6,感觉剧情上还是很好的感情也很细腻，整体爱情线确实少但也无碍看的时候还是非常震撼的，个人也觉得比天气之子的感情叙事好一点,10,闻神霄,200819005,9.997360678312269
17,5,一般般，看了女主后，挺无语的,2,胡桃心里有我,524890326,2.4894221068969746
18,4,内心很震撼，从女主身上学到勇气，结局很满意，猫猫拯救世界,10,这还玩嘛玩,2123574970,9.994579457153037
19,4,好看,10,术殇,349686228,7.892855468566868
20,4,好,10,哇噢噢噢噢哦哦哦,1026919654,7.84091280164578
21,4,无敌,10,橙滋润orange,1606365419,7.357660455486535
22,4,赞,10,bili_3476761,503586685,9.481488522408629
23,5,9.8还是太高了，优缺点都很明显。画面音乐剪辑nb确实没的说，但人设和剧情有些地方真的很离谱太突兀了吧，还有这么一搞我真的对猫咪不是很喜欢，可能是因为自己本来就很讨厌熊孩子，个人认为7～8分比较合适。,4,月刊勇者咸鱼君,161827598,0.028130621789328458
24,6,大臣啊啊啊啊啊啊啊啊啊啊啊 男女主为什么不双死啊 受不了了 猫猫又干错了什么啊啊啊啊啊啊,2,我永远单推神奇陆妈妈,12672477,7.665575501041716
25,5,个人评价超过《天气之子》，但台词真的还是有点欠打磨。,8,Sknowt,102633405,4.928818135794893
26,5,花了98去电影院看的，只能说中规中矩,6,御坂510号,457115556,4.385796564445032
27,5,画面、配音等的“软实力”说得过去，剧情、分镜等的“硬实力”是完全看不下去。,4,利威尔阶下囚,156518327,0.7432144252235173
28,5,9.8 太高了 画面依旧一流 没得说 但是和以往剧情比 差点意思,2,执着的手术刀,242584772,9.893366062783247
29,6,新海诚的上限也太低了，偏偏其他技能点又全部点满，真的很难不让人对他抱有期待。看过这部之后基本明白了，动画届也有自己的于正，专做精致的巧克力味粑粑。新海诚站在山脚，仰望山巅的宫崎骏，叹了口气，果然有些是,2,硕儿imsure,341030670,9.988854033493572
30,5,剧情真的有点撑不住，给两分画面和配乐吧,4,首阳廿伍,85435960,0.31911920635138036
31,5,赞,10,天增岁月人增肉74751,219888325,9.481488522408629
32,5,在电影院看的 当时配上音效 非常震撼,10,这厮没有钱,484126733,8.856217025571857
33,5,特别喜欢,10,iwdffet一只黑,470289494,9.295225064844926
34,5,这剧情，看了跟没看一样,2,唯ーぺ,321369531,1.9909887824447114
35,6,画质和场景构造第一梯队没得说，但是剧情是不是有点令人惊奇？？1莫名喜欢上了一个陌生人，因为对面是帅哥吗？2和那爷爷对话，“没有草太先生的世界好可怕”，让人全程？？3为什么就偷偷亲别人了（凳子）？,4,墨迹包子,174974598,7.08109468869088
36,5,好看，爱看,10,花雨丶噬血,349635581,8.728819955409504
37,5,不错啊,10,-爱吃鱼的修狗-,378120088,8.401798224124736
38,5,一如既往,10,小周同学爱唱歌,1982330541,8.100932791198272
39,4,只能说期望太大，优缺点都挺明显的。,8,zero伍柒柒玖,1805053264,4.669940919375115
40,5,好看是好看但是比不上之前的作品,6,刘某套你猴子,527026728,7.895938838873466
41,6,9.8？,4,sasukeiiiii,51044674,5.0
42,4,满分,10,御殿翎琉璃,1760620946,9.43254817987152
43,4,想了很多，但不足以表达，唯有喜欢二字，能表达一二,10,归尘之终,515975712,8.137982611548862
44,6,特别甜，特别好,10,零临后,436532177,9.52853531869594
45,5,一般,6,看海xr,34930426,7.484223051105047
46,6,好！,10,二刺猿李丛宇,477079146,7.84091280164578
47,4,见了一面就爱得死去活来？,6,蓝白天隙,110058143,9.63548552954903
